username,fullname,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,replies,retweets,likes,is_retweet,retweeter_username,retweeter_userid,retweet_id,text,html
ramanmgr,Raman Kumar,175263677,779128348580585473,/ramanmgr/status/779128348580585473,2016-09-23 01:20:48,1474593648,0,0,0,0,,,,"#HeavyRain & #LoudThunderstorm in @Kolkata, #MetroCity Sunk in #FloodWater https://youtu.be/7RNC3AJHNiE  #WestBengal http://fb.me/2NleKNhx7 ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/HeavyRain?src=hash""><s>#</s><b>HeavyRain</b></a> &amp; <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/LoudThunderstorm?src=hash""><s>#</s><b>LoudThunderstorm</b></a> in <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""8965282"" dir=""ltr"" href=""/Kolkata""><s>@</s><b><strong>Kolkata</strong></b></a>, <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MetroCity?src=hash""><s>#</s><b>MetroCity</b></a> Sunk in <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/FloodWater?src=hash""><s>#</s><b><strong>FloodWater</strong></b></a> <a class=""twitter-timeline-link"" data-expanded-url=""https://youtu.be/7RNC3AJHNiE"" dir=""ltr"" href=""https://t.co/0f3WqCfCnV"" rel=""nofollow noopener"" target=""_blank"" title=""https://youtu.be/7RNC3AJHNiE""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">youtu.be/7RNC3AJHNiE</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/WestBengal?src=hash""><s>#</s><b>WestBengal</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""http://fb.me/2NleKNhx7"" dir=""ltr"" href=""https://t.co/zzwAjUcrl1"" rel=""nofollow noopener"" target=""_blank"" title=""http://fb.me/2NleKNhx7""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">fb.me/2NleKNhx7</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
ramanmgr,Raman Kumar,175263677,779127672588742656,/ramanmgr/status/779127672588742656,2016-09-23 01:18:07,1474593487,0,0,0,0,,,,"#HeavyRain & #LoudThunderstorm in @Kolkata, #MetroCity Sunk in #FloodWater https://youtu.be/7RNC3AJHNiE  #WestBengal","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/HeavyRain?src=hash""><s>#</s><b>HeavyRain</b></a> &amp; <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/LoudThunderstorm?src=hash""><s>#</s><b>LoudThunderstorm</b></a> in <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""8965282"" dir=""ltr"" href=""/Kolkata""><s>@</s><b><strong>Kolkata</strong></b></a>, <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MetroCity?src=hash""><s>#</s><b>MetroCity</b></a> Sunk in <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/FloodWater?src=hash""><s>#</s><b><strong>FloodWater</strong></b></a> <a class=""twitter-timeline-link"" data-expanded-url=""https://youtu.be/7RNC3AJHNiE"" dir=""ltr"" href=""https://t.co/0f3WqCfCnV"" rel=""nofollow noopener"" target=""_blank"" title=""https://youtu.be/7RNC3AJHNiE""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">youtu.be/7RNC3AJHNiE</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/WestBengal?src=hash""><s>#</s><b>WestBengal</b></a></p>"
ramanmgr,Raman Kumar,175263677,779126427849330688,/ramanmgr/status/779126427849330688,2016-09-23 01:13:10,1474593190,0,0,0,0,,,,"Heavy #Rain & Loud #Thunderstorm in #Kolkata, #Metro #City Sunk in #Flood #Water http://youtu.be/7RNC3AJHNiE?a ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Heavy <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Rain?src=hash""><s>#</s><b>Rain</b></a> &amp; Loud <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Thunderstorm?src=hash""><s>#</s><b>Thunderstorm</b></a> in <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Kolkata?src=hash""><s>#</s><b><strong>Kolkata</strong></b></a>, <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Metro?src=hash""><s>#</s><b>Metro</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/City?src=hash""><s>#</s><b>City</b></a> Sunk in <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Flood?src=hash""><s>#</s><b><strong>Flood</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Water?src=hash""><s>#</s><b>Water</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""http://youtu.be/7RNC3AJHNiE?a"" dir=""ltr"" href=""https://t.co/Lfm6Mz2cGm"" rel=""nofollow noopener"" target=""_blank"" title=""http://youtu.be/7RNC3AJHNiE?a""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">youtu.be/7RNC3AJHNiE?a</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
SadhuAyan,Ayan Sadhu,385243801,773956868200919041,/SadhuAyan/status/773956868200919041,2016-09-08 18:51:11,1473360671,0,0,0,0,,,,Monsoon elegy #monsooncanvas #raindrenchedcity #ig_kolkata #flooding #floodingig #instaframe… https://www.instagram.com/p/BKGwsurg1IN/ ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Monsoon elegy <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/monsooncanvas?src=hash""><s>#</s><b>monsooncanvas</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/raindrenchedcity?src=hash""><s>#</s><b>raindrenchedcity</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ig_kolkata?src=hash""><s>#</s><b>ig_<strong>kolkata</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/flooding?src=hash""><s>#</s><b><strong>flooding</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/floodingig?src=hash""><s>#</s><b>floodingig</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/instaframe?src=hash""><s>#</s><b>instaframe</b></a>… <a class=""twitter-timeline-link"" data-expanded-url=""https://www.instagram.com/p/BKGwsurg1IN/"" dir=""ltr"" href=""https://t.co/bl7YgMW1zu"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.instagram.com/p/BKGwsurg1IN/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">instagram.com/p/BKGwsurg1IN/</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
shuvankr,Shuvankar Mukherjee,10352582,773046952258736128,/shuvankr/status/773046952258736128,2016-09-06 06:35:30,1473143730,1,2,0,0,,,,"#Kolkata #flood
1947-1977: We blamed British
1977-2011: We blamed Congress
2011-2016: We blame CPM
#NoSolution","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Kolkata?src=hash""><s>#</s><b><strong>Kolkata</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/flood?src=hash""><s>#</s><b><strong>flood</strong></b></a>
1947-1977: We blamed British
1977-2011: We blamed Congress
2011-2016: We blame CPM
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/NoSolution?src=hash""><s>#</s><b>NoSolution</b></a></p>"
pallabghosh,pallab ghosh,103036214,772852096706179072,/pallabghosh/status/772852096706179072,2016-09-05 17:41:13,1473097273,0,1,0,0,,,,"Water logging in #Kolkata, #flood situation to get worsen tom when #Durgapur barage to release water. Mythan released today #Bengal #news","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Water logging in <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Kolkata?src=hash""><s>#</s><b><strong>Kolkata</strong></b></a>, <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/flood?src=hash""><s>#</s><b><strong>flood</strong></b></a> situation to get worsen tom when <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Durgapur?src=hash""><s>#</s><b>Durgapur</b></a> barage to release water. Mythan released today <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Bengal?src=hash""><s>#</s><b>Bengal</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/news?src=hash""><s>#</s><b>news</b></a></p>"
RocKing_Pritam,Pritam Mondal,339679398,772837801096155136,/RocKing_Pritam/status/772837801096155136,2016-09-05 16:44:25,1473093865,0,1,1,0,,,,"CM Wanted to make a Second London but I see a Second Venice under construction. 
#Bengal #Sigh #Flood #Kolkata pic.twitter.com/q7paWDpnIB","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">CM Wanted to make a Second London but I see a Second Venice under construction. 
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Bengal?src=hash""><s>#</s><b>Bengal</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Sigh?src=hash""><s>#</s><b>Sigh</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Flood?src=hash""><s>#</s><b><strong>Flood</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Kolkata?src=hash""><s>#</s><b><strong>Kolkata</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/q7paWDpnIB"">pic.twitter.com/q7paWDpnIB</a></p>"
shuvankr,Shuvankar Mukherjee,10352582,771977795337457664,/shuvankr/status/771977795337457664,2016-09-03 07:47:03,1472888823,0,1,0,0,,,,"Modern #Kolkata residents don't talk about #Rain, #Flood or #Waterlogging in the city 
They just love to talk trash on Net","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Modern <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Kolkata?src=hash""><s>#</s><b><strong>Kolkata</strong></b></a> residents don't talk about <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Rain?src=hash""><s>#</s><b>Rain</b></a>, <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Flood?src=hash""><s>#</s><b><strong>Flood</strong></b></a> or <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Waterlogging?src=hash""><s>#</s><b>Waterlogging</b></a> in the city 
They just love to talk trash on Net</p>"
juhipatelbly1,Juhi patel,766939995605131264,768195535404695552,/juhipatelbly1/status/768195535404695552,2016-08-23 21:17:42,1471987062,0,0,0,0,,,,BanglaKhobor BengaliNews Depression Flood Kolkata MoonSoon Rain http://agnipath.com/uncategorized/620 … #Flood,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""in"">BanglaKhobor BengaliNews Depression Flood <strong>Kolkata</strong> MoonSoon Rain <a class=""twitter-timeline-link"" data-expanded-url=""http://agnipath.com/uncategorized/620"" dir=""ltr"" href=""https://t.co/TZJQaH03FE"" rel=""nofollow noopener"" target=""_blank"" title=""http://agnipath.com/uncategorized/620""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">agnipath.com/uncategorized/</span><span class=""invisible"">620</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Flood?src=hash""><s>#</s><b><strong>Flood</strong></b></a></p>"
News18Bengali,News18Bangla,3106609956,767732228390522880,/News18Bengali/status/767732228390522880,2016-08-22 14:36:41,1471876601,0,0,2,0,,,,"#BanglaKhobor #BengaliNews #DVC #Flood #Kolkata #WaterRelease
http://bengali.pradesh18.com/news/kolkata/flood-in-bankura-nadia-howra-for-dvc-water-release-105881.html …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/BanglaKhobor?src=hash""><s>#</s><b>BanglaKhobor</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/BengaliNews?src=hash""><s>#</s><b>BengaliNews</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/DVC?src=hash""><s>#</s><b>DVC</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Flood?src=hash""><s>#</s><b><strong>Flood</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Kolkata?src=hash""><s>#</s><b><strong>Kolkata</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/WaterRelease?src=hash""><s>#</s><b>WaterRelease</b></a>
<a class=""twitter-timeline-link"" data-expanded-url=""http://bengali.pradesh18.com/news/kolkata/flood-in-bankura-nadia-howra-for-dvc-water-release-105881.html"" dir=""ltr"" href=""https://t.co/SKubyKwjrx"" rel=""nofollow noopener"" target=""_blank"" title=""http://bengali.pradesh18.com/news/kolkata/flood-in-bankura-nadia-howra-for-dvc-water-release-105881.html""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bengali.pradesh18.com/news/kolkata/f</span><span class=""invisible"">lood-in-bankura-nadia-howra-for-dvc-water-release-105881.html</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"
